Artist Name,Album Name,Review Score,Genre,Date Published,Written By
Molly Sarlé,Karaoke Angel,7.3,Folk/Country,2019-09-23,Amanda Wicks
The Juan MacLean,The Brighter the Light,6.3,ElectronicRock,2019-09-23,Sean T. Collins
Surf Curse,Heaven Surrounds You,6.5,Rock,2019-09-23,Abby Jones
Darkthrone,A Blaze in the Northern Sky,9.2,Metal,2019-09-22,Sam Sodomsky
Thurston Moore,Spirit Counsel,7.8,Rock,2019-09-21,Stuart Berman
Sampa the Great,The Return,7.3,Rap,2019-09-21,Marcus J. Moore
Trupa Trupa,Of the Sun,7.2,Rock,2019-09-21,Stuart Berman
Brittany Howard,Jaime,8.6,Rock,2019-09-20,Sheldon Pearce
Ghostface Killah,Ghostface Killahs,6.2,Rap,2019-09-20,Jonah Bromwich
Long Beard,Means to Me,7.0,Rock,2019-09-20,Abby Jones
Chastity,Home Made Satan,6.4,Rock,2019-09-20,Ian Cohen
Indian Summer,Giving Birth to Thunder,8.4,Rock,2019-09-19,Ian Cohen
Hobo Johnson,The Fall of Hobo Johnson,3.6,RapRock,2019-09-19,Alphonse Pierre
Devendra Banhart,Ma,7.3,Folk/Country,2019-09-19,Grayson Haver Currin
Raphael Saadiq,Jimmy Lee,7.8,Pop/R&B,2019-09-19,Ann-Derrick Gaillot
JPEGMAFIA,All My Heroes Are Cornballs,7.6,Rap,2019-09-18,Stephen Kearse
Various Artists,The Time for Peace Is Now,8.5,Not found,2019-09-18,Stephen Thomas Erlewine
The Highwomen,The Highwomen,7.7,Folk/Country,2019-09-18,Grayson Haver Currin
Type O Negative,None More Negative,6.6,Metal,2019-09-18,Sean T. Collins
Jenny Hval,The Practice of Love,8.6,Experimental,2019-09-17,Quinn Moreland
Pixies,Beneath the Eyrie,6.7,Rock,2019-09-17,Evan Rytlewski
Metronomy,Metronomy Forever,6.7,Pop/R&B,2019-09-17,Aimee Cliff
KAZU,Adult Baby,6.8,Electronic,2019-09-17,Philip Sherburne
(Sandy) Alex G,House of Sugar,8.6,Rock,2019-09-16,Anna Gaca
Lightning Bug,October Song,8.0,Pop/R&B,2019-09-16,Patric Fallon
Blacks’ Myths ,Blacks’ Myths II,8.0,Experimental,2019-09-16,Piotr Orlov
Barker,Utility,8.2,Electronic,2019-09-16,Philip Sherburne
Patsy Cline,Sentimentally Yours,8.9,Folk/Country,2019-09-15,Stephen M. Deusner
Belle and Sebastian,Days of the Bagnold Summer (Original Motion Picture Soundtrack),6.8,Rock,2019-09-14,Zoe Dubno
EarthGang,Mirrorland,7.2,Rap,2019-09-14,Sheldon Pearce
Pharmakon,Devour,7.9,Experimental,2019-09-14,Sasha Geffen
Charli XCX,Charli,7.8,Pop/R&B,2019-09-13,Michelle Kim
Sam Fender,Hypersonic Missiles,6.1,Rock,2019-09-13,Joshua Copperman
Twin Peaks,Lookout Low,5.9,Rock,2019-09-13,Abby Jones
Kindness,Something Like a War,6.5,ElectronicRock,2019-09-13,Katherine St. Asaph
Iggy Pop,Free,6.7,Rock,2019-09-12,Stephen Thomas Erlewine
Klein,Lifetime,7.8,Experimental,2019-09-12,Thea Ballard
Bonnie “Prince” BillyBryce DessnerEighth Blackbird,When We Are Inhuman,7.1,Folk/CountryExperimental,2019-09-12,Jayson Greene
Terry RileyKronos Quartet,Sun Rings,5.8,Experimental,2019-09-12,Andy Beta
Octo Octa,Resonant Body,7.8,Electronic,2019-09-11,Chris Randle
Death Cab for Cutie,The Blue EP,5.9,Rock,2019-09-11,Ian Cohen
IDK,Is He Real?,6.3,Rap,2019-09-11,Sheldon Pearce
Lower Dens,The Competition,6.7,Rock,2019-09-11,Kevin Lozano
Post Malone,Hollywood’s Bleeding,6.8,Rap,2019-09-10,Jayson Greene
Mica Levi,Monos (Original Motion Picture Soundtrack),7.8,Experimental,2019-09-10,Andy Beta
Lil Tecca,We Love You Tecca,5.6,Rap,2019-09-10,Evan Rytlewski
Steve Lehman,The People I Love,7.4,Jazz,2019-09-10,Seth Colter Walls
Black Belt Eagle Scout,At the Party With My Brown Friends,8.0,Rock,2019-09-09,Peyton Thomas
Frankie Cosmos,Close It Quietly,7.1,Rock,2019-09-09,Sasha Geffen
Ezra Furman,Twelve Nudes,7.1,Rock,2019-09-09,Steven Arroyo
Squid,Town Centre,7.7,Rock,2019-09-09,Jazz Monroe
k.d. lang,Ingénue,9.0,Folk/Country,2019-09-08,Laura Snapes
Sandro Perri,Soft Landing,8.0,ElectronicExperimentalFolk/Country,2019-09-07,Stuart Berman
MUNA,Saves the World,7.7,Pop/R&B,2019-09-07,Eve Barlow
!!!,Wallop,7.2,Rock,2019-09-07,Jesse Dorris
Bat for Lashes,Lost Girls,7.2,Rock,2019-09-06,Ben Hewitt
G Flip,About Us,5.4,Pop/R&B,2019-09-06,Colin Lodewick
Carl GariAbdullah Miniawy,Whities 023 (The Act of Falling From the 8th Floor),7.6,Experimental,2019-09-06,Andy Beta
Snoh Aalegra,"-Ugh, those feels again",7.1,Pop/R&B,2019-09-06,Stephen Kearse
Tool,Fear Inoculum,5.4,Metal,2019-09-05,Jeremy D. Larson
Common,Let Love,6.7,Rap,2019-09-05,Sheldon Pearce
Boy Scouts,Free Company,8.1,Folk/Country,2019-09-05,Peyton Thomas
Tropical Fuck Storm,Braindrops,6.4,Rock,2019-09-05,Shaad D’Souza
Whitney,Forever Turned Around,7.8,Rock,2019-09-04,Sophie Kemp 
Joan Shelley,Like the River Loves the Sea,8.1,Folk/Country,2019-09-04,Graeme Thomson
DUMP HIM,Dykes to Watch Out For,7.6,Pop/R&B,2019-09-04,Linnie Greene
Yeesh,Saw You Up There,7.3,Rock,2019-09-04,Nina Corcoran
Lana Del Rey,Norman Fucking Rockwell!,9.4,Pop/R&B,2019-09-03,Jenn Pelly
Sheryl Crow,Threads,6.3,Rock,2019-09-03,Alfred Soto
Ruth Garbus,Kleinmeister,7.6,Rock,2019-09-03,Quinn Moreland
HTRK,Venus in Leo,7.6,ExperimentalRock,2019-09-03,Joshua Minsoo Kim
JAY-Z,"In My Lifetime, Vol. 1",8.4,Rap,2019-09-01,Paul A. Thompson
Missy Elliott,Iconology EP,4.6,Rap,2019-08-31,Stephen Kearse
Black Dresses,LOVE AND AFFECTION FOR STUPID LITTLE BITCHES,7.7,Electronic,2019-08-31,Colin Joyce
Ceremony,In the Spirit World Now,6.3,Rock,2019-08-31,Noah Yoo
Little Brother,May the Lord Watch,7.6,Rap,2019-08-30,Marcus J. Moore
Fire-Toolz,Field Whispers (Into the Crystal Palace),8.0,Experimental,2019-08-30,Miles Bowe
Mariah the Scientist,Master,7.3,Pop/R&B,2019-08-30,Cat Zhang
Shadowax,nikolai reptile,7.8,Electronic,2019-08-30,Ben Cardew
SiR,Chasing Summer,6.8,Pop/R&B,2019-08-29,Dani Blum 
Baby Rose,To Myself,7.5,Pop/R&B,2019-08-29,Michelle Kim
Cousin Stizz,Trying to Find My Next Thrill,7.1,Rap,2019-08-29,Mehan Jayasuriya
Jay Som,Anak Ko,7.3,Rock,2019-08-28,Vrinda Jagota
Jidenna,85 to Africa,6.7,Pop/R&BRap,2019-08-28,Rawiya Kameir
Oh Sees,Face Stabber,6.6,Rock,2019-08-28,Linnie Greene
Shikoswe,Back in the Tall Grass,7.2,Rock,2019-08-28,Margaret Farrell
Rapsody,Eve,8.0,Rap,2019-08-27,Sheldon Pearce
Lina Tullgren,Free Cell,7.3,Rock,2019-08-27,Emma Madden
Shannon Lay ,August,7.7,Folk/Country,2019-08-27,Erin Osmon
The Gerbils,Are You Sleepy,8.1,Rock,2019-08-27,Paul Thompson
Taylor Swift,Lover,7.1,Pop/R&B,2019-08-26,Anna Gaca
Joyero,Release the Dogs,7.3,Rock,2019-08-26,Brian Howe
Modern Nature,How to Live,7.6,Rock,2019-08-26,Jesse Jarnow
YATTA,WAHALA,7.6,Experimental,2019-08-26,Phillip Mlynar
Sean Paul,Dutty Rock,7.8,Rap,2019-08-25,Anupa Mistry
Sheer Mag,A Distant Call,7.8,Rock,2019-08-24,Dayna Evans
De La Noche,"Blue Days, Black Nights",7.5,Electronic,2019-08-24,Brian Howe
Various Artists,Total Solidarity,8.0,Not found,2019-08-24,Jesse Dorris
BROCKHAMPTON,GINGER,6.5,Rap,2019-08-23,Sheldon Pearce
Peaer,A Healthy Earth,8.0,Rock,2019-08-23,Ian Cohen
Leo Svirsky,River Without Banks,8.0,Experimental,2019-08-23,Joshua Minsoo Kim
Ghost Orchard,Bunny,6.7,Pop/R&BElectronic,2019-08-23,Abby Jones
Blanck Mass,Animated Violence Mild,7.9,Electronic,2019-08-22,Patric Fallon
Esther Rose,You Made It This Far,7.5,Folk/Country,2019-08-22,Sam Sodomsky
Maria Usbeck,Envejeciendo,7.8,Pop/R&B,2019-08-22,Stefanie Fernández
Debby Friday,Death Drive EP,7.2,Experimental,2019-08-22,Michelle Kim
Young Thug,So Much Fun,8.4,Rap,2019-08-21,Alphonse Pierre
The Hold Steady,Thrashing Thru the Passion,8.0,Rock,2019-08-21,Evan Rytlewski
Various Artists,"Control the Streets, Volume 2",5.9,Not found,2019-08-21,Sheldon Pearce
Taylor McFerrin,Love’s Last Chance,6.9,Pop/R&B,2019-08-21,Phillip Mlynar
Sleater-Kinney,The Center Won’t Hold,7.9,Rock,2019-08-20,Caryn Rose
Channel Tres,Black Moses EP,6.7,Electronic,2019-08-20,Nathan Smith
Nick Catchdubs,UFO,6.6,Not found,2019-08-20,Phillip Mlynar
Friendly Fires,Inflorescent,7.0,ElectronicRock,2019-08-20,Arielle Gordon
Taylor Swift,Red,9.0,Pop/R&B,2019-08-19,Brad Nelson
Taylor Swift,Speak Now,8.2,Pop/R&B,2019-08-19,Sam Sodomsky
Taylor Swift,Fearless,8.1,Pop/R&B,2019-08-19,Hazel Cills
Taylor Swift,1989,7.7,Pop/R&B,2019-08-19,Vrinda Jagota
Taylor Swift,Taylor Swift,6.7,Pop/R&B,2019-08-19,Maura Johnston
Linda Ronstadt,Heart Like a Wheel,8.5,Rock,2019-08-18,John Lingan
King Gizzard & The Lizard Wizard,Infest the Rats’ Nest,6.7,Rock,2019-08-17,Stuart Berman
Various Artists,STUMM433,6.3,Not found,2019-08-17,Daniel Martin-McCormick
Proper.,I Spent the Winter Writing Songs About Getting Better,7.4,Rock,2019-08-17,Ian Cohen
Oso Oso,Basking in the Glow,8.3,Rock,2019-08-16,Ian Cohen
Lillie Mae,Other Girls,7.5,Folk/Country,2019-08-16,Maggie Lange
Loscil,Equivalents,7.0,Electronic,2019-08-16,Jonathan Williger
Dry Cleaning,Sweet Princess EP,7.8,Rock,2019-08-16,Brodie Lancaster
Ride,This Is Not a Safe Place,6.5,Rock,2019-08-15,Ben Cardew
Shura,forevher,7.8,Pop/R&B,2019-08-15,Aimee Cliff
Various Artists,Jambú e Os Míticos Sons Da Amazônia,8.0,Not found,2019-08-15,Philip Sherburne
Georgia Anne MuldrowDudley Perkins,Black Love & War,7.5,Pop/R&B,2019-08-15,Shannon J. Effinger
Rick Ross,Port of Miami 2,6.6,Rap,2019-08-14,Evan Rytlewski
Slipknot,We Are Not Your Kind,6.7,Metal,2019-08-14,Andy O'Connor
Ugly God,Bumps & Bruises,3.5,Rap,2019-08-14,Taylor Crumpton
Horse Jumper of Love,So Divine,7.4,Rock,2019-08-14,Quinn Moreland
Trippie Redd,!,5.5,Rap,2019-08-13,Sheldon Pearce
Jadu Heart,Melt Away,5.8,Pop/R&B,2019-08-13,Michelle Kim
Various Artists,Blinded by the Light (Original Motion Picture Soundtrack),5.3,Not found,2019-08-13,Stephen Thomas Erlewine
Purple Pilgrims,Perfumed Earth,7.0,Rock,2019-08-13,Madison Bloom
Elvis Presley,Live 1969,6.1,Rock,2019-08-12,Allison Hussey
Ra Ra Riot,Superbloom,5.2,Rock,2019-08-12,Arielle Gordon
Nef the Pharaoh,Mushrooms & Coloring Books,6.8,Rap,2019-08-12,Dean Van Nguyen
Pontiac StreatorUlla Straus,11 Items,7.3,ElectronicExperimental,2019-08-12,Andy Beta
Buckingham Nicks,Buckingham Nicks,8.4,Rock,2019-08-11,Mark Richardson
NF,The Search,4.0,Rap,2019-08-10,Evan Rytlewski
The Soft Cavalry,The Soft Cavalry,5.8,Rock,2019-08-10,Marc Hogan
Marika Hackman,Any Human Friend,7.3,Folk/Country,2019-08-10,Sophie Kemp 
Bon Iver,"i,i",8.8,Rock,2019-08-09,Matthew Strauss
I Jahbar & Friends,Inna Duppy SKRS Soundclash,7.3,Experimental,2019-08-09,Wayne Marshall
MerzbowVanity Productions,Coastal Erosion,7.7,Experimental,2019-08-09,Joshua Minsoo Kim
floral print,floral print EP,6.6,Rock,2019-08-09,Abby Jones
Linda McCartney,Wide Prairie,6.8,Pop/R&BRock,2019-08-08,Jayson Greene
Young DolphKey Glock,Dum and Dummer,7.1,Rap,2019-08-08,Nathan Smith
Forest Drive West,Blue 05,7.5,Electronic,2019-08-08,Philip Sherburne
tobi lou,Live on Ice,6.5,Rap,2019-08-08,Colin Lodewick
Fever Ray,Live at Troxy,7.5,Electronic,2019-08-07,Sasha Geffen
Rich Brian,The Sailor,6.8,Rap,2019-08-07,Nathan Reese
WHY?,AOKOHIO,5.3,RapRock,2019-08-07,Mehan Jayasuriya
Lone,Abraxas EP,5.5,Electronic,2019-08-07,Ben Cardew
Drake,Care Package,8.1,Rap,2019-08-06,Corban Goble
Cold HartYAWNS,Good Morning Cruel World,6.9,RockRap,2019-08-06,NM Mashurov
Nérija,Blume,7.3,Jazz,2019-08-06,Matthew Kassel
Ami Dang,Parted Plains,6.3,Experimental,2019-08-06,Daniel Martin-McCormick
Ty Segall,First Taste,7.5,Rock,2019-08-05,Stephen Thomas Erlewine
Young Guv,GUV I,6.7,Rock,2019-08-05,Arielle Gordon
Leech,Data Horde,7.4,Not found,2019-08-05,Fred Thomas
Tyler Childers,Country Squire,7.8,Folk/Country,2019-08-05,Stephen M. Deusner
Stevie Wonder,Stevie Wonder’s Journey Through the Secret Life of Plants,7.7,Pop/R&B,2019-08-04,Andy Beta
E-40,Practice Makes Paper,7.4,Rap,2019-08-03,Matthew Ismael Ruiz
My Morning Jacket,The Tennessee Fire: 20th Anniversary Edition,8.0,Rock,2019-08-03,Ian Cohen
Ajani Jones,Dragonfly,3.9,Rap,2019-08-03,Stephen Kearse
Clairo,Immunity,8.0,Pop/R&B,2019-08-02,Katherine St. Asaph
Various Artists,Woodstock – Back to the Garden: The Definitive 50th Anniversary Archive,8.2,Not found,2019-08-02,Caryn Rose
Lil Durk,Love Songs 4 the Streets 2,6.9,Rap,2019-08-02,Dean Van Nguyen
"Slaughter Beach, Dog",Safe and Also No Fear,6.4,Rock,2019-08-02,Abby Jones
Burna Boy,African Giant,8.3,Rap,2019-08-01,Sheldon Pearce
Soundgarden,Live From the Artists Den,7.7,Rock,2019-08-01,Stephen Thomas Erlewine
Knife Wife,Family Party EP,7.0,Rock,2019-08-01,Margaret Farrell
Dude York,Falling,5.2,Rock,2019-08-01,Nina Corcoran
Various Artists,Once Upon a Time ... in Hollywood (Original Motion Picture Soundtrack),7.7,Not found,2019-07-31,Jonah Bromwich
Pop Smoke,Meet the Woo,7.6,Rap,2019-07-31,Alphonse Pierre
BJ the Chicago Kid,1123,7.2,Rap,2019-07-31,Evan Rytlewski
Clark,Kiri Variations,5.8,Electronic,2019-07-31,Ben Cardew
Chance the Rapper,The Big Day,6.9,Rap,2019-07-30,Sheldon Pearce
Strange Ranger,Remembering the Rockets,7.8,Rock,2019-07-30,Ian Cohen
Four Tet,"Live at Alexandra Palace London, 8th and 9th May 2019",7.7,Electronic,2019-07-30,Philip Sherburne
Bryce Vine,Carnival,4.9,Pop/R&B,2019-07-30,Dani Blum 
Florist,Emily Alone,8.4,Folk/Country,2019-07-29,Sam Sodomsky
YBN Cordae,The Lost Boy,7.0,Rap,2019-07-29,Will Schube
De Lorians,De Lorians,7.4,Jazz,2019-07-29,Steven Arroyo
Vaughan Mason & Butch Dayo,Feel My Love,7.6,Pop/R&B,2019-07-29,Andy Beta
Cat Power,Moon Pix,9.5,Rock,2019-07-28,Jayson Greene
100 gecs,1000 gecs,7.4,ExperimentalElectronic,2019-07-27,Larry Fitzmaurice
Cherubs,Immaculada High,7.9,Not found,2019-07-27,Chris O'Connell
Lisel,Angels on the Slope,6.8,ExperimentalPop/R&B,2019-07-27,Sophie Kemp 
Cuco,Para Mí,6.8,Pop/R&B,2019-07-26,Jonah Bromwich
Teejayx6,Fraudulent Activity,7.5,Rap,2019-07-26,Alphonse Pierre
Caleb Giles,Under the Shade,7.1,Rap,2019-07-26,Dean Van Nguyen
Resavoir,Resavoir,8.2,Jazz,2019-07-26,Andy Beta
Willow,Willow,6.2,Pop/R&B,2019-07-25,Sheldon Pearce
Iggy Azalea,In My Defense,3.8,Pop/R&BRap,2019-07-25,Dani Blum 
Patrice Rushen,Remind Me: The Classic Elektra Recordings 1978-1984,7.8,JazzPop/R&B,2019-07-25,Andy Beta
Lingua Ignota,Caligula,8.1,Experimental,2019-07-25,Jenn Pelly
Nas,The Lost Tapes 2,5.1,Rap,2019-07-24,Matthew Ismael Ruiz
Jeff Mills,Moon: The Area of Influence,6.6,Electronic,2019-07-24,Shawn Reynaldo
Gauche,A People’s History of Gauche,7.6,Rock,2019-07-24,Linnie Greene
Tony Molina,Songs From San Mateo County,7.6,Rock,2019-07-24,Stuart Berman
Various Artists,The Lion King: The Gift,7.3,Not found,2019-07-23,Michelle Kim
Tomb Mold,Planetary Clairvoyance,8.0,Metal,2019-07-23,Sam Sodomsky
Nina Kraviz,stranno stranno. neobjatno.,7.1,Electronic,2019-07-23,Philip Sherburne
The Flaming Lips,King’s Mouth,7.0,Rock,2019-07-22,Stuart Berman
DJ Haram,Grace EP,7.5,Electronic,2019-07-22,Ben Cardew
Lost Sounds,Black Wave,8.2,ElectronicRock,2019-07-22,Stuart Berman
Oli XL,"Rogue Intruder, Soul Enhancer",7.7,Electronic,2019-07-22,Alexander Iadarola
Mase,Harlem World,8.1,Rap,2019-07-21,Sheldon Pearce
Brian Eno,Apollo: Atmospheres & Soundtracks - Extended Edition,8.0,Experimental,2019-07-20,Alfred Soto
Various Artists,Tiny Changes: A Celebration of Frightened Rabbit’s ‘The Midnight Organ Fight’,6.8,Not found,2019-07-20,Joshua Copperman
Maxo Kream,Brandon Banks,8.4,Rap,2019-07-19,Stephen Kearse
KAINA,Next to the Sun,7.6,Pop/R&B,2019-07-19,Peyton Thomas
Mal Blum,Pity Boy,7.5,Rock,2019-07-19,Abby Jones
Stereolab,Emperor Tomato Ketchup,9.4,Experimental,2019-07-18,Jesse Dorris
Stereolab,Mars Audiac Quintet,9.1,Experimental,2019-07-18,Philip Sherburne
Stereolab,Transient Random-Noise Bursts With Announcements,8.3,Experimental,2019-07-18,Josephine Livingstone
Stereolab,Low Fi EP,8.1,Experimental,2019-07-18,Mark Richardson
Stereolab,Peng!,7.5,Experimental,2019-07-18,Nina Corcoran
Blood Orange,Angel’s Pulse,8.0,Pop/R&B,2019-07-17,Ann-Derrick Gaillot
Banks,III,6.5,Pop/R&B,2019-07-17,Noah Yoo
Big K.R.I.T.,K.R.I.T. IZ HERE,6.8,Rap,2019-07-17,Evan Rytlewski
Ada Lea,what we say in private,7.3,Rock,2019-07-17,Margaret Farrell
Ed Sheeran,No.6 Collaborations Project,5.3,Rock,2019-07-16,Rawiya Kameir
Everything But the Girl,Amplified Heart,8.6,ElectronicPop/R&B,2019-07-16,Philip Sherburne
Bleached,Don’t You Think You've Had Enough?,7.2,Rock,2019-07-16,Arielle Gordon
Torche,Admission,6.4,Metal,2019-07-16,Zach Schonfeld
Khruangbin,Hasta el Cielo,6.3,Rock,2019-07-15,Marc Hogan
Jefre Cantu-Ledesma,Tracing Back the Radiance,8.0,Experimental,2019-07-15,Andy Beta
Daniel Caesar,CASE STUDY 01,6.7,Pop/R&B,2019-07-15,Michelle Kim
Yuna,Rouge,6.8,Pop/R&B,2019-07-15,Minna Zhou
Aaliyah,Aaliyah,9.3,Pop/R&B,2019-07-14,Rawiya Kameir
Various Artists,"Stranger Things: Soundtrack From the Netflix Original Series, Season 3",4.8,Not found,2019-07-13,Jonah Bromwich
Chinatown Slalom,Who Wants to Be a Millionaire?,6.9,Pop/R&B,2019-07-13,Will Pritchard
Key!,SO EMOTIONAL,7.6,Rap,2019-07-13,Nazuk Kochhar
Purple Mountains,Purple Mountains,8.5,Rock,2019-07-12,Sam Sodomsky
Blarf,Cease & Desist,6.1,Experimental,2019-07-12,Zoe Dubno
Joanna Sternberg,Then I Try Some More,7.5,Folk/Country,2019-07-12,Emma Madden
Wilson Tanner,II,6.8,Electronic,2019-07-12,Philip Sherburne
Jaden Smith,ERYS,4.7,Rap,2019-07-11,Reed Jackson
Mr. Muthafuckin’ eXquire,Mr. Muthafuckin’ eXquire,7.8,Rap,2019-07-11,Phillip Mlynar
Lolina,Who is experimental music?,7.0,Experimental,2019-07-11,Thea Ballard
Prince Daddy & the Hyena,Cosmic Thrill Seekers,7.5,Not found,2019-07-11,Ian Cohen
David Bowie,The ‘Mercury’ Demos,7.1,Rock,2019-07-10,Chris O’Leary
Bobby Krlic,Midsommar (Original Score),7.6,Experimental,2019-07-10,Margaret Farrell
Equiknoxx,Eternal Children,7.4,Electronic,2019-07-10,Wayne Marshall
An Isolated Mind,I'm Losing Myself,7.7,Metal,2019-07-10,Andy O'Connor
Various Artists,Revenge of the Dreamers III,7.1,Not found,2019-07-09,Sheldon Pearce
Daughter of Swords,Dawnbreaker,7.3,Folk/Country,2019-07-09,Linnie Greene
Félicia Atkinson,The Flower and the Vessel,7.8,Experimental,2019-07-09,Philip Sherburne
Jesca Hoop,STONECHILD,7.7,Folk/CountryPop/R&B,2019-07-09,Peyton Thomas
Move D,Building Bridges,7.4,Electronic,2019-07-08,Ben Cardew
Oren Ambarchi,Simian Angel,7.5,Experimental,2019-07-08,Philip Sherburne
Nathan Bajar,playroom,6.6,Pop/R&B,2019-07-08,Michelle Kim
Sofia Bolt,Waves,6.9,Rock,2019-07-08,Sophie Kemp 
Koji Kondo,The Legend of Zelda: Ocarina of Time,9.0,Electronic,2019-07-07,Gabriel Szatan
Mort Garson,Mother Earth’s Plantasia,7.2,Electronic,2019-07-06,Stephen M. Deusner
Bedouine,Bird Songs of a Killjoy,8.0,Folk/Country,2019-07-05,Vrinda Jagota
Various Artists,BTS World: Original Soundtrack,4.6,Not found,2019-07-04,Joshua Minsoo Kim
J BalvinBad Bunny,OASIS,8.0,Rap,2019-07-03,Matthew Ismael Ruiz
Mega Bog,Dolphine,7.9,Experimental,2019-07-03,Quinn Moreland
Kim Petras,Clarity,7.2,Pop/R&B,2019-07-03,Jamieson Cox
Keiji HainoCharles Hayward,A Loss Permitted...,6.9,ExperimentalRock,2019-07-03,Daniel Martin-McCormick
The Black Keys,“Let’s Rock”,7.0,Rock,2019-07-02,Evan Rytlewski
Peggy Gou,DJ-Kicks,7.1,Electronic,2019-07-02,Claire Lobenfeld
The Appleseed Cast,The Fleeting Light of Impermanence,7.4,Rock,2019-07-02,Ian Cohen
75 Dollar Bill,I Was Real,7.6,Experimental,2019-07-02,Andy Beta
Moodymann,Sinner,8.4,Electronic,2019-07-01,Andy Beta
Black Pumas,Black Pumas,7.0,Rock,2019-07-01,Stephen Thomas Erlewine
Divino Niño,Foam,7.5,Rock,2019-07-01,Beverly Bryan
Various Artists,Digital Kabar: Electronic Maloya From La Réunion Since 1980,6.9,Not found,2019-07-01,Andy Beta
Sigur Rós,Ágætis byrjun,9.4,Rock,2019-06-30,Jayson Greene
Freddie GibbsMadlib,Bandana,8.1,Rap,2019-06-29,Stephen Kearse
Various Artists,Taxi Sampler 01: Rhythms & Vibes From the Spirit of Young Africa,7.1,Not found,2019-06-29,E. Tammy Kim
Big Bend,Radish,7.3,Experimental,2019-06-29,Zach Schonfeld
MIKE,Tears of Joy,8.3,Rap,2019-06-28,Alphonse Pierre
Mark Ronson,Late Night Feelings,7.2,Pop/R&B,2019-06-28,Peyton Thomas
Pi’erre Bourne,The Life of Pi’erre 4,6.7,Rap,2019-06-28,Reed Jackson
Eris Drew,Raving Disco Breaks Vol. 1,7.6,Electronic,2019-06-28,Shawn Reynaldo
Thom Yorke,ANIMA,8.3,ElectronicRock,2019-06-27,Philip Sherburne
Car Seat Headrest,Commit Yourself Completely,6.5,Rock,2019-06-27,Ian Cohen
Hatchie,Keepsake,6.5,Rock,2019-06-27,Arielle Gordon
His Name Is Alive,All the Mirrors In the House (Home Recordings 1979 - 1986),7.6,Rock,2019-06-27,Philip Sherburne
The Raconteurs,Help Us Stranger,6.4,Rock,2019-06-26,Peyton Thomas
Vegyn,Text While Driving If You Want to Meet God,6.6,Electronic,2019-06-26,Noah Yoo
iLoveMakonnen,M3,6.3,Rap,2019-06-26,Nathan Smith
Mr. Tophat,Dusk to Dawn,6.8,Electronic,2019-06-26,Anna Gaca
black midi,​Schlagenheim,8.2,Rock,2019-06-25,Jeremy D. Larson
Baroness,Gold & Grey,8.0,Metal,2019-06-25,Kim Kelly
Cassius,Dreems,7.8,Electronic,2019-06-25,Noah Yoo
Willie Nelson,Ride Me Back Home,7.4,Rock,2019-06-25,Stephen M. Deusner
Mannequin Pussy,Patience,8.4,Rock,2019-06-24,Quinn Moreland
Holy Ghost!,Work,6.8,ElectronicRock,2019-06-24,Jesse Dorris
Shellac,The End of Radio,7.6,Rock,2019-06-24,Arielle Gordon
Anthony Naples,Fog FM,8.0,Electronic,2019-06-24,Philip Sherburne
Neutral Milk Hotel,On Avery Island,8.8,Rock,2019-06-23,Sasha Geffen
Titus Andronicus,An Obelisk,7.0,Rock,2019-06-22,Evan Rytlewski
French Vanilla,How Am I Not Myself?,7.2,Rock,2019-06-22,Zach Schonfeld
Bad Books,III,7.4,Rock,2019-06-22,Nina Corcoran
Lil Nas X,7 EP,4.3,RapFolk/Country,2019-06-21,Alphonse Pierre
Lukas NelsonPromise of the Real,Turn Off the News (Build a Garden),6.0,Folk/CountryRock,2019-06-21,Evan Rytlewski
Jean Deaux,Empathy EP,7.0,Rap,2019-06-21,Michelle Kim
Claire Cronin,Big Dread Moon,7.5,Rock,2019-06-21,Sam Sodomsky
Hot Chip,A Bath Full of Ecstasy,7.3,Electronic,2019-06-20,Jonah Bromwich
Octavian ,Endorphins,7.8,Rap,2019-06-20,Dean Van Nguyen
Lil Keed,Long Live Mexico,7.3,Rap,2019-06-20,Alphonse Pierre
PTU,Am I Who I Am,8.0,Experimental,2019-06-20,Ben Cardew
GoldLink,Diaspora,8.0,Rap,2019-06-19,Sheldon Pearce
Pelican,Nighttime Stories,7.6,Metal,2019-06-19,Sam Sodomsky
Miles Davis,The Complete Birth of the Cool,10.0,Jazz,2019-06-19,Nate Chinen
John Luther Adams,Become Desert,7.6,Experimental,2019-06-19,Matthew Strauss
Madonna,Madame X,4.8,Pop/R&B,2019-06-18,Rich Juzwiak
Klaus Nomi,Klaus Nomi,8.4,Experimental,2019-06-18,Sean T. Collins
Ellen Arkbro,CHORDS,7.8,Experimental,2019-06-18,Daniel Martin-McCormick
Redbait,Cages,7.5,Metal,2019-06-18,Kim Kelly
Leif,Loom Dream,8.3,Electronic,2019-06-17,Philip Sherburne
Crumb,Jinx,7.8,Rock,2019-06-17,Ann-Derrick Gaillot
CalexicoIron & Wine,Years to Burn,7.4,RockFolk/Country,2019-06-17,Stephen M. Deusner
Joey LaBeija,TEARS IN MY HENNESSY,6.8,Electronic,2019-06-17,Eric Torres
AC/DC,Back in Black,8.8,Rock,2019-06-16,Steve Kandell
Noel Gallagher's High Flying Birds,Black Star Dancing EP,5.2,Rock,2019-06-15,Stephen Thomas Erlewine
Fabian Almazan,This Land Abounds With Life,7.5,Jazz,2019-06-15,Matthew Kassel
